Didok number;parkrail_number;parkrail_price_day;parkrail_price_month;parkrail_price_year;parkrail_binding_time1;parkrail_binding_time2;parkrail_binding_time3;parkrail_comment;railtaxitext;railtaxiinfo;rental_bike_designation;rental_bike_number;rental_bike_comment;bike_parking_status_d;bike_parking_comment_d;bike_parking_lockable;bike_parking_lockable_text;carsharing location_designation;parkrail_app;parkrail_Webshop;parkrail_local;parkrail_Automat;OPUIC;Stop name;Station abbreviation;lod;Geopos;transport company;Weather;Postal code
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Countrybike;85.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Mountainbike;3.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Tandem;6.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Elektrovelo;54.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6121;99.0;8.0;50.0;500.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Diese Parkkasse ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Jetzt herunterladen unter: www.sbb.ch/parking;;;Comfortbike;6.0;zusätzlich verfügbar: 8 Tourenvelos;Immer genügend Veloabstellplätze verfügbar;;0;;Romanshorn Bahnhof;1;0;1;1;8506121;Romanshorn;RH;http://lod.opentransportdata.swiss/didok/8506121;47.56552286486505, 9.379371292262817;11;https://meteo.sbb.ch/?didok=8506121;8590
6202;3.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;0;8506202;Dietfurt;DTF;http://lod.opentransportdata.swiss/didok/8506202;47.34455188311114, 9.078320289692623;11;https://meteo.sbb.ch/?didok=8506202;9615
6203;23.0;4.0;40.0;400.0;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Die Parkuhr ist in Pension. Ihre Nachfolgerin, die P+R App, kann aber noch viel mehr. Tagesparkingtickets können auch am Billettautomaten gekauft werden.;;;;;;Immer genügend Veloabstellplätze verfügbar;;1;Sofortverkauf;;1;1;0;1;8506203;Bütschwil;BUET;http://lod.opentransportdata.swiss/didok/8506203;47.35959125215088, 9.075151063623059;11;https://meteo.sbb.ch/?didok=8506203;9606
6204;15.0;0.0;0.0;0.0;;;;;;;;;;Immer genügend Veloabstellplätze verfügbar;;0;;;0;0;0;0;8506204;Lütisburg;LUET;http://lod.opentransportdata.swiss/didok/8506204;47.38482629654424, 9.071100494646764;11;https://meteo.sbb.ch/?didok=8506204;9601
6205;;;;;00.00 - 24.00;00.00 - 24.00;00.00 - 24.00;Nur Kurzzeitparkplätze (max. 3 Stunden) vorhanden.;;;;;;Immer genügend Veloabstellplätze verfügbar;;1;Gepäckschalter;;0;0;0;0;8506205;Bazenheid;BAZ;http://lod.opentransportdata.swiss/didok/8506205;47.41012653734022, 9.069059802452417;11;https://meteo.sbb.ch/?didok=8506205;9602
6206;90.0;12.0;80.0;800.0;;;;Preise und Online-Ticket nur gültig für Parkplätze im Aussenbereich.  <br> Bis Ende Oktober 2022 aufgrund von Bauarbeiten eingeschränktes Platzangebot.  <br> Weitere Plätze in der WIPA, Preise unter http://www.wipa-parking.ch/home;Gratisnummer 0800 44 22 66;"Zugehörige Agglomerationsstandorte: Sirnach, Bronschhofen, Schwarzenbach, Rickenbach TG, Algertshausen, Zuzwil, Henau, Wilen bei Wil.

RailTaxi-Partner: Umwelt Taxi Schwendimann";;;;Immer genügend Veloabstellplätze verfügbar;;0;;Wil (SG) Bahnhof;0;0;0;0;8506206;Wil SG;WIL;http://lod.opentransportdata.swiss/didok/8506206;47.46241324274365, 9.040993050468307;11;https://meteo.sbb.ch/?didok=8506206;9500
